Designator,Mid X,Mid Y,Layer,Rotation,Package,Val
C1,-10.58,5.76,bottom,0,C_0402_1005Metric,100n
C2,-0.225,-3.38,bottom,0,C_0603_1608Metric,10u
C3,3.72,0.44,bottom,-90,C_0603_1608Metric,10u
C4,5.65,2.96,bottom,90,C_0603_1608Metric,10u
C5,2.18,1.27,bottom,-90,C_0402_1005Metric,100n
C6,1.04,1.48,bottom,-90,C_0402_1005Metric,100n
C7,1.81,-0.11,bottom,180,C_0402_1005Metric,100n
C8,-1.05,-2.19,bottom,0,C_0402_1005Metric,100n
C9,-1.04,-1.26,bottom,0,C_0402_1005Metric,100n
C10,-1.05,-0.22,bottom,0,C_0402_1005Metric,100n
C14,-21.29,1.72,bottom,90,C_0402_1005Metric,100n
C15,-13.19,2.56,bottom,180,C_0603_1608Metric,10u
C16,1.81,-1.72,bottom,0,C_0402_1005Metric,100n
C17,-2.17,1.28,bottom,-90,C_0402_1005Metric,100n
C20,-15.14,1.67,bottom,90,C_0402_1005Metric,100n
C21,1.38,3.16,bottom,0,C_0603_1608Metric,10u
C22,-4.69,4.81,bottom,180,C_0603_1608Metric,10u
C23,5.72,-0.795,bottom,90,C_0603_1608Metric,10u
C24,-1.22,2.69,bottom,90,C_0402_1005Metric,100n
C25,-2.21,3.1,bottom,-90,C_0402_1005Metric,100n
C26,7.36,-2.35,bottom,0,C_0402_1005Metric,100n
C27,3.32,2.88,bottom,90,C_0402_1005Metric,100n
C28,2.06,-3.13,bottom,-90,C_0402_1005Metric,100n
C29,0.11,1.5,bottom,-90,C_0402_1005Metric,100n
C30,-4.58,-3.14,bottom,-90,C_0603_1608Metric,10u
C31,-3.27,-3.59,bottom,-90,C_0402_1005Metric,100n
C32,-2.35,-3.58,bottom,-90,C_0402_1005Metric,100n
C35,-10.5,7.5,bottom,0,C_0402_1005Metric,100n
C44,-18.33,-11.67,bottom,180,C_0402_1005Metric,100n
C45,5.66,-11.35,bottom,0,C_0603_1608Metric,22u
C46,10.69,-1.8,bottom,0,C_0402_1005Metric,22n
C47,10.68,-3.26,bottom,0,C_0402_1005Metric,22n
C48,13.47,0.63,bottom,180,C_0402_1005Metric,22n
C49,13.65,-1.82,bottom,180,C_0402_1005Metric,22n
C50,16.8,-1.55,bottom,-90,C_0402_1005Metric,22n
C51,13.635,-3.29,bottom,180,C_0402_1005Metric,22n
C52,15.27,2.53,bottom,180,C_0402_1005Metric,22n
C53,16.46,0.66,bottom,0,C_0603_1608Metric,10u
C54,-29.21,3.33,bottom,90,C_0603_1608Metric,10u
C55,18.8,-0.26,bottom,90,C_0402_1005Metric,100n
C56,-19.34,1.32,bottom,90,C_0402_1005Metric,22p
C57,-17.58,2.42,bottom,90,C_0402_1005Metric,22p
C58,-14.62,6.35,bottom,-90,C_0402_1005Metric,6.8p
C68,15.77,-8.24,bottom,0,C_0402_1005Metric,100n
C69,23.79,4.52,bottom,180,C_0402_1005Metric,100n
C70,18.97,-8.23,bottom,0,C_0402_1005Metric,100n
C72,21.54,-8.68,bottom,-90,C_0402_1005Metric,100n
C73,23.29,-7.85,bottom,180,C_0402_1005Metric,100n
C75,26.05,-0.1,bottom,0,C_0402_1005Metric,100n
C76,24.41,-2.44,bottom,90,C_0402_1005Metric,100n
C77,26.11,7.2,bottom,0,C_0402_1005Metric,100n
C79,26.05,-1.04,bottom,0,C_0402_1005Metric,1n
C80,23.46,-2.41,bottom,90,C_0402_1005Metric,1n
C81,24.24,8.07,bottom,180,C_0402_1005Metric,1n
C82,18.8,-2.66,bottom,-90,C_0402_1005Metric,100n
C83,22.52,2.48,bottom,90,C_0402_1005Metric,100n
